ダウンロードした時刻：2020/04/21 19:40:42

,札幌,札幌,札幌,札幌,札幌,札幌,仙台,仙台,仙台,仙台,仙台,仙台,東京,東京,東京,東京,東京,東京,福岡,福岡,福岡,福岡,福岡,福岡,大阪,大阪,大阪,大阪,大阪,大阪,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,広島,広島,広島,広島,広島,広島
年月,平均気温(℃),平均気温(℃),平均気温(℃),日最高気温25℃以上日数(日),日最高気温25℃以上日数(日),日最高気温25℃以上日数(日),平均気温(℃),平均気温(℃),平均気温(℃),日最高気温25℃以上日数(日),日最高気温25℃以上日数(日),日最高気温25℃以上日数(日),平均気温(℃),平均気温(℃),平均気温(℃),日最高気温25℃以上日数(日),日最高気温25℃以上日数(日),日最高気温25℃以上日数(日),平均気温(℃),平均気温(℃),平均気温(℃),日最高気温25℃以上日数(日),日最高気温25℃以上日数(日),日最高気温25℃以上日数(日),平均気温(℃),平均気温(℃),平均気温(℃),日最高気温25℃以上日数(日),日最高気温25℃以上日数(日),日最高気温25℃以上日数(日),平均気温(℃),平均気温(℃),平均気温(℃),日最高気温25℃以上日数(日),日最高気温25℃以上日数(日),日最高気温25℃以上日数(日),平均気温(℃),平均気温(℃),平均気温(℃),日最高気温25℃以上日数(日),日最高気温25℃以上日数(日),日最高気温25℃以上日数(日)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1990/4,7.9,8,1,0,8,1,10.4,8,1,0,8,1,14.7,8,1,0,8,1,14.8,8,1,1,8,1,14.9,8,1,3,8,1,14.4,8,1,1,8,1,14.4,8,1,0,8,1
1990/5,13.4,8,1,5,8,1,16.1,8,1,3,8,1,19.2,8,1,8,8,1,19.3,8,1,14,8,1,19.1,8,1,11,8,1,18.7,8,1,10,8,1,19.1,8,1,12,8,1
1990/6,17.7,8,1,7,8,1,20.1,8,1,16,8,1,23.5,8,1,23,8,1,24.2,8,1,23,8,1,24.5,8,1,27,8,1,23.7,8,1,24,8,1,24.0,8,1,26,8,1
1990/7,20.8,8,1,18,8,1,22.2,8,1,18,8,1,25.7,8,1,26,8,1,28.3,8,1,30,8,1,28.0,8,1,28,8,1,26.9,8,1,27,8,1,28.1,8,1,28,8,1
1990/8,23.1,8,1,26,8,1,25.9,8,1,30,8,1,28.6,8,1,31,8,1,29.6,8,1,31,8,1,29.5,8,1,31,8,1,28.4,8,1,31,8,1,29.2,8,1,31,8,1
1990/9,18.7,8,1,8,8,1,22.1,8,1,16,8,1,24.8,8,1,25,8,1,25.4,8,1,27,8,1,25.4,8,1,25,8,1,24.6,8,1,24,8,1,24.9,8,1,24,8,1
1990/10,13.0,8,1,0,8,1,16.2,8,1,2,8,1,19.2,8,1,5,8,1,18.7,8,1,4,8,1,18.9,8,1,5,8,1,18.4,8,1,8,8,1,18.2,8,1,5,8,1
1990/11,7.5,8,1,0,8,1,11.5,8,1,0,8,1,15.1,8,1,1,8,1,15.2,8,1,0,8,1,14.8,8,1,0,8,1,14.1,8,1,0,8,1,14.2,8,1,0,8,1
1990/12,1.9,8,1,0,8,1,7.2,8,1,0,8,1,10.0,8,1,0,8,1,8.7,8,1,0,8,1,9.4,8,1,0,8,1,7.8,8,1,0,8,1,7.9,8,1,0,8,1
1991/1,-1.2,8,1,0,8,1,2.4,8,1,0,8,1,6.3,8,1,0,8,1,7.0,8,1,0,8,1,6.4,8,1,0,8,1,4.6,8,1,0,8,1,5.6,8,1,0,8,1
1991/2,-2.8,8,1,0,8,1,1.7,8,1,0,8,1,6.5,8,1,0,8,1,6.1,8,1,0,8,1,5.8,8,1,0,8,1,4.2,8,1,0,8,1,5.0,8,1,0,8,1
1991/3,0.3,8,1,0,8,1,5.1,8,1,0,8,1,9.5,8,1,0,8,1,10.4,8,1,0,8,1,10.2,8,1,0,8,1,9.7,8,1,0,8,1,10.2,8,1,0,8,1
1991/4,8.0,8,1,0,8,1,11.1,8,1,0,8,1,15.4,8,1,0,8,1,14.6,8,1,0,8,1,15.9,8,1,5,8,1,15.2,8,1,1,8,1,15.2,8,1,0,8,1
1991/5,13.8,8,1,2,8,1,15.6,8,1,5,8,1,18.8,8,1,10,8,1,18.3,8,1,7,8,1,19.2,8,1,9,8,1,18.6,8,1,14,8,1,18.3,8,1,8,8,1
1991/6,18.8,8,1,12,8,1,20.6,8,1,14,8,1,23.6,8,1,22,8,1,23.5,8,1,18,8,1,24.4,8,1,25,8,1,23.8,8,1,23,8,1,23.6,8,1,24,8,1
1991/7,20.2,8,1,12,8,1,21.9,8,1,14,8,1,26.7,8,1,28,8,1,27.4,8,1,30,8,1,28.1,8,1,31,8,1,26.6,8,1,31,8,1,26.9,8,1,29,8,1
1991/8,21.5,8,1,17,8,1,22.2,8,1,21,8,1,25.5,8,1,29,8,1,26.2,8,1,31,8,1,28.1,8,1,31,8,1,26.8,8,1,30,8,1,27.7,8,1,31,8,1
1991/9,18.4,8,1,6,8,1,20.6,8,1,12,8,1,23.9,8,1,20,8,1,24.4,8,1,29,8,1,25.6,8,1,28,8,1,24.8,8,1,26,8,1,25.2,8,1,29,8,1
